Coutnry_short,countrycode,Region,Unifed_party_code,Q10_PTV,Q13_left_right ,Q24_EU,Party_name_questionnaire,English name,Q7_EES,Q7,Q7n,Q2,Q2_EES,Q2n,Q9_Q25_EES,Q9,Q9n,q25,Q25n
AT,1040,,1,Q10_1,Q13_1,Q24_1,ÖVP ,Austrian People's Party,1040520,101,1,101,1040520,1,1040520,101,1,103,1
AT,1040,,2,Q10_2,Q13_2,Q24_2,SPÖ,Austrian Social Democratic Party,1040320,102,2,102,1040320,2,1040320,102,2,102,2
AT,1040,,3,Q10_3,Q13_3,Q24_3,NEOS,NEOS - The New Austria and Liberal Forum,1040423,104,3,103,1040423,3,1040423,103,3,107,3
AT,1040,,4,Q10_4,Q13_4,Q24_4, Die Grünen,The Greens,1040110,106,4,104,1040110,4,1040110,104,4,106,4
AT,1040,,5,Q10_5,Q13_5,Q24_5,FPÖ,Austrian Freedom Party,1040420,103,5,105,1040420,5,1040420,105,5,104,5
AT,1040,,6,Q10_6,Q13_6,Q24_6,Jetzt – Liste Pilz/ Europa,Alliance for the Future of Austria,1040600,105,6,106,1040600,6,1040600,106,6,105,6
AT,1040,,,,,,KPÖ,Austrian Communist Party,20,107,7,,,,20,107,7,108,7
AT,1040,,,,,,Die Weißen,,,,,,,,20,108,20,,
AT,1040,,,,,,FLÖ (Liste Dr. Schnell),,,,,,,,20,109,20,,
,,,,,,,Liste Roland Düringer,,,,,,,,20,110,20,,
,,,,,,,,,,,,,,,,,,,
BE,1056,Flanders,1,Q10_1,Q13_1,Q24_1,Partij van de Arbeid – Parti du Travail de Belgique(PVDA/PTB),Workers Party of Belgium,1056325,207,1,207,1056325,1,1056325,207,1,208,1
BE,1056,Flanders,2,Q10_2,Q13_2,Q24_2,Christen-Democratisch en Vlaams (CD&V),Christian Democratic and Flemish Party,1056521,201,2,201,1056521,2,1056521,201,2,202,2
BE,1056,Flanders,3,Q10_3,Q13_3,Q24_3,Socialistische Partij – Anders (sp.a),Socialist Party Different,1056327,204,3,204,1056327,3,1056327,204,3,205,3
BE,1056,Flanders,4,Q10_4,Q13_4,Q24_4,Vlaamse Liberalen en Democraten(Open VLD),Open Flemish Liberals and Democrats,1056421,206,4,206,1056421,4,1056421,206,4,207,4
BE,1056,Flanders,5,Q10_5,Q13_5,Q24_5,Nieuw-Vlaamse Alliantie  (N-VA),New Flemish Alliance,1056913,203,5,203,1056913,5,1056913,203,5,204,5
BE,1056,Flanders,6,Q10_6,Q13_6,Q24_6,Groen,Green,1056112,202,6,202,1056112,6,1056112,202,6,203,6
BE,1056,Flanders,7,Q10_7,Q13_7,Q24_7,Vlaams Belang (VB),Flemish Interest,1056711,205,7,205,1056711,7,1056711,205,7,206,7
,,,,,,,,,,,,,,,,,,,
BE,1056,Wallonia,1,Q10_1,Q13_1,Q24_1,Parti Socialiste (PS),Francophone Socialist Party,1056322,208,1,208,1056322,1,1056322,208,1,212,1
BE,1056,Wallonia,2,Q10_2,Q13_2,Q24_2,Mouvement Réformateur (MR),Reform Movement,1056427,209,2,209,1056427,2,1056427,209,2,213,2
BE,1056,Wallonia,3,Q10_3,Q13_3,Q24_3,Centre Démocrate Humaniste (cdH),Humanist Democratic Centre,1056522,210,3,210,1056522,3,1056522,210,3,214,3
BE,1056,Wallonia,4,Q10_4,Q13_4,Q24_4,Ecologistes Confédérés pour l'Organisation de Luttes Originales (ECOLO),Ecologists,1056111,211,4,211,1056111,4,1056111,211,4,215,4
BE,1056,Wallonia,5,Q10_5,Q13_5,Q24_5,Front National (FN),National Front (Belgium),1056751,212,5,212,1056751,5,1056751,212,5,216,5
BE,1056,Wallonia,6,Q10_6,Q13_6,Q24_6,Parti du Travail de Belgique (PTB),Workers Party of Belgium,1056335,213,6,213,1056335,6,1056335,213,6,217,6
BE,1056,Wallonia,7,Q10_7,Q13_7,Q24_7,Démocrate Fédéraliste Indépendant (DéFI),Francophone Democratic Federalists,1056900,214,7,214,1056900,7,1056900,,7,218,7
,,,,,,,Parti Populaire (PP),People's Party,1056601,215,8,215,1056601,8,1056601,214,8,219,8
,,,,,,,,,,,,,,,,,,,
BG,1110,,1,Q10_1,Q13_1,Q24_1,"????, ???????? ?? ?????????? ???????? ?? ???????? (????) ",Citzizens for European Development of Bulgaria (GERB),1100600,301,1,301,1100600,1,1100600,301,1,302,1
BG,1110,,2,Q10_2,Q13_2,Q24_2, ???????? ?? ???????? (??),Coalition for Bulgaria (KB),1100300,302,2,302,1100300,2,1100300,302,2,303,2
BG,1110,,3,Q10_3,Q13_3,Q24_3,???????? ?? ????? ? ??????? (???),Movements for Rights and Freedoms (DPS),1100900,303,3,303,1100900,3,1100900,303,3,304,3
BG,1110,,4,Q10_4,Q13_4,Q24_4,???? – ????????? ?????????? ???????? (????),IMRO – Bulgarian National Movement,1103701,304,4,304,1103001,4,1103001,304,4,305,4
BG,1110,,5,Q10_5,Q13_5,Q24_5,???????????? ???????? (??),Democratic Bulgaria,1100100,305,5,305,1100100,5,1100100,305,5,306,5
BG,1110,,6,Q10_6,Q13_6,Q24_6, ????,Will,1100421,304,6,306,1100421,6,1100421,304,6,307,6
BG,1110,,7,Q10_7,Q13_7,Q24_7, ?????????? ???? ????? (?????),National Union Attack (ATAKA/ATA),1100700,307,7,307,1100700,7,1100700,307,7,308,7
BG,1110,,,,,,?????????? ????? ?? ???????? ?? ???????? (????),National Front for the Salvation of Bulgaria,20,308,20,,,,20,309,99,310,20
BG,1110,,,,,,"????, ???????? ?? ?????????? ???????? ?? ???????? (????) ",Alternative for Bulgarian Revival,1103001,309,20,,,,1103001,310,99,311,20
BG,1110,,,,,, ???????? ?? ???????? (??),Reformist Bloc,,,,,,,1100601,308,99,309,20
BG,1110,,,,,,???????? ?? ????? ? ??????? (???),"Yes, Bulgaria!",,,,,,,20,311,99,,
BG,1110,,,,,,???? – ????????? ?????????? ???????? (????),"Democrats for Responsibility, Solidarity and Tolerance",,,,,,,20,312,99,,
BG,1110,,,,,,???????????? ???????? (??),Democrats for a Strong Bulgaria,,,,,,,20,313,99,,
,,,,,,,,,,,,,,,,,,,
HR,1119,,1,Q10_1,Q13_1,Q24_1,Socijaldemokratska partija Hrvatske (SDP),Social Democratic Party of Croatia,1191320,412,1,401,1191320,1,1191320,408,1,404,1
HR,1119,,2,Q10_2,Q13_2,Q24_2,Hrvatska demokratska zajednica (HDZ),Croation Democratic Union,1191511,404,2,402,1191511,2,1191511,402,2,402,2
HR,1119,,3,Q10_3,Q13_3,Q24_3,Živi zid,Human Shield ,1191951,414,3,403,1191951,3,1191951,409,3,411,3
HR,1119,,4,Q10_4,Q13_4,Q24_4,Amsterdamska koalicija ,Coaltion of  HSS (1191810) + GRA?ANSKO-LIBERALNI SAVEZ - GLAS +IDS (1191953),1191810,405,4,404,1191810,4,1191810,,4,403,4
HR,1119,,5,Q10_5,Q13_5,Q24_5,MOST,Bridge of Independent Lists,1191601,406,5,405,1191601,5,1191601,407,5,410,5
HR,1119,,6,Q10_6,Q13_6,Q24_6,START,"Party of Anti-corruption, Development and Transparency",1191901,413,6,406,1191901,6,1191901,,6,412,6
HR,1119,,7,Q10_7,Q13_7,Q24_7,Bandi? Milan 365,Milan Bandic 365 -- The Party of Labour and Solidarity,1191330,401,7,407,1191330,7,1191330,401,7,407,7
HR,1119,,,,,,BRUNA ESIH - ZLATKO HASANBEGOVIC?: NEOVISNI ZA HRVATSKU + HRVATSKA STRANKA PRAVA,Coaltion of NHR (1191714) and HSP(1191713),1191011,402,20,,,,1191714,404,99,413,20
HR,1119,,,,,,HRAST - POKRET ZA USPJES?NU HRVATSKU + HRVATSKA KONZERVATIVNA STRANKA - HKS + HRVATSKA STRANKA PRAVA DR. ANTE STARC?EV,Croatian Growth,1191952,403,20,,,,1191952,,,414,20
HR,1119,,,,,,MOZ?EMO! - POLITIC?KA PLATFORMA+ NOVA LJEVICA + ODRZ?IVI RAZVOJ HRVATSKE – OraH (Možemo + NL + ORaH),MOZ?EMO,1191014,407,20,,,,1191014,,,416,20
HR,1119,,,,,,NEZAVISNA LISTA MARIJANA PETIR,Independent,20,408,20,,,,,,,,20
HR,1119,,,,,,NEZAVISNA LISTA MISLAV KOLAKUŠI?,Independent,11910021,409,20,,,,,,,,20
HR,1119,,,,,,PAMETNO + UNIJA KVARNERA,,20,410,20,,,,20,,,415,20
HR,1119,,,,,,SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA (SDSS),Independent Democratic Serbian Party,20,411,20,,,,20,,,406,20
HR,1119,,,,,,Hrvatski demokratski savez Slavonije i Barabnje (HDSSB),Croatian Democratic Assembly of Slavonia and Baranja,,,,,,,1191952,403,99,,
HR,1119,,,,,,Hrvatska stranka prava Ante Star?evi? (HSP AS) i koalicijski partneri,Croatian Party of Rights -- Dr. Ante Starcevic,,,,,,,1191613,405,99,,
