country,year,ratio
Australia,1946,190.4190800681431
Australia,1947,177.32137135533483
Australia,1948,148.92981051507874
Australia,1949,125.82869855394883
Australia,1950,109.80939799962258
Australia,1951,87.09447922595334
Australia,1952,86.06643817558661
Australia,1953,79.86502210844776
Australia,1954,76.84670288697134
Australia,1955,74.98050194980502
Australia,1956,71.8182657678456
Australia,1957,67.7237634682277
Australia,1958,66.04975124378109
Australia,1959,62.38845144356955
Australia,1960,48.3363802559415
Australia,1961,49.37811382685658
Australia,1962,50.33076074972437
Australia,1963,47.58753094528369
Australia,1964,45.01152604887045
Australia,1965,43.73903743315508
Australia,1966,42.48123302986743
Australia,1967,40.53448088814957
Australia,1968,39.49426658712799
Australia,1969,36.80077642491618
Australia,1970,34.96359062624123
Australia,1971,32.289871721233006
Australia,1972,30.721744270046628
Australia,1973,27.361466800282077
Australia,1974,22.36639439906651
Australia,1975,23.63684735616894
Australia,1976,22.982349085813727
Australia,1977,23.638910316268117
Australia,1978,24.732891751109314
Australia,1979,20.87219511412154
Australia,1980,19.124087591240876
Australia,1981,16.17684498121643
Australia,1982,15.043615122864965
Australia,1983,17.57969557725445
Australia,1984,20.062923963846
Australia,1985,21.424017003188098
Australia,1986,21.491707707043357
Australia,1987,19.993912351237263
Australia,1988,16.29359341140772
Australia,1989,12.498329765800415
Australia,1990,10.331201388837659
Australia,1991,9.30832139271476
Australia,1992,10.865716915217309
Australia,1993,13.814962432037154
Australia,1994,15.918474881706379
Australia,1995,18.383455868401132
Australia,1996,17.775323368892025
Australia,1997,17.41232457350337
Australia,1998,14.586137695048864
Australia,1999,13.216049263804075
Australia,2000,11.106017870849625
Australia,2001,9.23978259677442
Australia,2002,8.227777925016927
Australia,2003,7.031335038723304
Australia,2004,6.271350951371776
Australia,2005,5.892013342543951
Australia,2006,5.392566362747641
Australia,2007,4.905430103446052
Australia,2008,4.677887066339233
Australia,2009,8.418269841600146
Austria,1946,NA
Austria,1947,NA
Austria,1948,35.20228329018372
Austria,1949,26.448141371340522
Austria,1950,22.144398212359377
Austria,1951,15.264331210191083
Austria,1952,13.580401224923442
Austria,1953,16.565805896537935
Austria,1954,14.268099837592956
Austria,1955,11.894731930381223
Austria,1956,10.92381911234164
Austria,1957,8.304269073657247
Austria,1958,11.592758073670883
Austria,1959,13.519904322569623
Austria,1960,13.568510226458319
Austria,1961,12.3920535956318
Austria,1962,11.966269645280194
Austria,1963,12.088617058735572
Austria,1964,12.043660418963617
Austria,1965,11.471399594320486
Austria,1966,10.978289204185753
Austria,1967,12.107069080214279
Austria,1968,12.984291487420155
Austria,1969,13.016119402985074
Austria,1970,10.583438065340003
Austria,1971,9.27693842047567
Austria,1972,8.938241059326453
