country,year,growth
Australia,1946,-3.557951482479782
Australia,1947,2.459474566797093
Australia,1948,6.437534097108566
Australia,1949,6.611993849308062
Australia,1950,6.920201241847579
Australia,1951,4.27261154812808
Australia,1952,0.904651599574291
Australia,1953,3.119280285404069
Australia,1954,6.2168138265068285
Australia,1955,5.462089670603554
Australia,1956,3.441608142766972
Australia,1957,2.0030116571903234
Australia,1958,4.8029321557198745
Australia,1959,6.156573690665557
Australia,1960,4.1912126376957515
Australia,1961,0.6894658835153944
Australia,1962,6.248841494662694
Australia,1963,6.1255695578999125
Australia,1964,6.841499618036417
Australia,1965,5.107341973789015
Australia,1966,2.783063953638565
Australia,1967,6.751673466652153
Australia,1968,5.878890615435317
Australia,1969,6.081697093682603
Australia,1970,6.3597870288852665
Australia,1971,4.448824070424395
Australia,1972,2.805801549763509
Australia,1973,5.421130233155713
Australia,1974,2.4791949580417194
Australia,1975,2.70746265275843
Australia,1976,4.031053058163825
Australia,1977,1.046756908595592
Australia,1978,2.9010820705680063
Australia,1979,5.265974799168127
Australia,1980,1.99840205311963
Australia,1981,4.155751637817917
Australia,1982,-0.009740006753067298
Australia,1983,-0.5260115982310465
Australia,1984,6.4144998117670715
Australia,1985,5.7161962643196285
Australia,1986,2.110579592120976
Australia,1987,4.396280958857912
Australia,1988,4.030412731248356
Australia,1989,4.57494906645084
Australia,1990,1.6044395220208063
Australia,1991,-1.2501169676085944
Australia,1992,2.1122873748187887
Australia,1993,3.897211811785084
Australia,1994,5.013538669825679
Australia,1995,3.488831888171151
Australia,1996,4.281607040896951
Australia,1997,3.9969968599765204
Australia,1998,5.051379310803283
Australia,1999,4.401723734251317
Australia,2000,3.426129648149834
Australia,2001,2.0893402157554863
Australia,2002,4.247348492676362
Australia,2003,2.965939764914216
Australia,2004,3.842278648897257
Australia,2005,2.759194654652619
Australia,2006,2.8403720339076566
Australia,2007,4.048780297625321
Australia,2008,2.3542239641489493
Australia,2009,0.7322497391686333
Austria,1946,16.799999999999994
Austria,1947,10.273972602739722
Austria,1948,27.329192546583858
Austria,1949,18.90243902439024
Austria,1950,12.40896183968976
Austria,1951,6.839934635436928
Austria,1952,0.08739985433356967
Austria,1953,4.3516227623344506
Austria,1954,10.219665271966537
Austria,1955,11.05311442219481
Austria,1956,6.87936191425722
Austria,1957,6.124733475479749
Austria,1958,3.6516148475563837
Austria,1959,2.8421205660011717
Austria,1960,8.231829426316416
Austria,1961,5.309214392999406
Austria,1962,2.422588780023971
Austria,1963,4.070635721493443
Austria,1964,6.001900440204011
Austria,1965,2.875855255936477
Austria,1966,5.628267596116232
Austria,1967,3.0404552265189677
Austria,1968,4.444081365901487
Austria,1969,6.288619475948387
Austria,1970,7.123408639340645
Austria,1971,5.112317098303221
Austria,1972,6.208663372807366
Austria,1973,4.887023727478579
Austria,1974,3.9435859528083927
Austria,1975,-0.3623515600307048
Austria,1976,4.577021990098218
Austria,1977,4.676785075888068
Austria,1978,-0.36326378539492943
Austria,1979,5.455319767743805
Austria,1980,2.314
Austria,1981,-0.099
Austria,1982,1.908
Austria,1983,2.804
Austria,1984,0.332
Austria,1985,2.243
Austria,1986,2.341
Austria,1987,1.681
Austria,1988,0.961
Austria,1989,3.742
Austria,1990,4.171
Austria,1991,3.338
Austria,1992,1.888
Austria,1993,0.374
Austria,1994,2.213
Austria,1995,2.539
Austria,1996,2.23
Austria,1997,2.126
Austria,1998,3.595
Austria,1999,3.34
Austria,2000,3.651
Austria,2001,0.52
Austria,2002,1.647
Austria,2003,0.801
Austria,2004,2.545
Austria,2005,2.46
Austria,2006,3.46
Austria,2007,3.547
Austria,2008,2.048
Austria,2009,-3.824
Belgium,1946,NA
Belgium,1947,15.21630210989593
Belgium,1948,11.440554227044796
Belgium,1949,-1.30662891505271
Belgium,1950,5.641317121260925
Belgium,1951,7.033062605367979
Belgium,1952,-0.4295235634430239
Belgium,1953,2.931077497733736
Belgium,1954,-1.2687253497462136
Belgium,1955,5.149511818996899
Belgium,1956,2.4321598311860537
Belgium,1957,3.0461368771075525
Belgium,1958,-1.4946034444900058
Belgium,1959,2.5874223527891482
Belgium,1960,6.428162074863053
Belgium,1961,4.963586721257829
Belgium,1962,4.600962137102704
Belgium,1963,6.184625266093424
Belgium,1964,7.151043659695655
Belgium,1965,3.4424740643145713
Belgium,1966,3.758673463893425
Belgium,1967,3.345110738593249
Belgium,1968,5.20399101478668
Belgium,1969,7.529120713643045
Belgium,1970,5.091177652486478
Belgium,1971,4.909758366917716
Belgium,1972,6.327547542901812
Belgium,1973,7.4020976038171815
Belgium,1974,3.128692661064969
Belgium,1975,-2.8967024525484164
Belgium,1976,5.71506251165117
Belgium,1977,1.116626646944563
Belgium,1978,3.0823595623346023
Belgium,1979,2.943252762135229
Belgium,1980,4.007840927824846
Belgium,1981,0.14606595689430346
Belgium,1982,0.5807106818353613
Belgium,1983,0.3974370679885819
Belgium,1984,2.1018225781429756
Belgium,1985,1.8474080749441901
Belgium,1986,1.8535094758935777
Belgium,1987,2.373340202332419
Belgium,1988,4.565592777147365
Belgium,1989,3.617936813497913
Belgium,1990,3.0899950822359523
Belgium,1991,1.8003692612125644
Belgium,1992,1.3316035648272662
Belgium,1993,-0.6923778490470656
Belgium,1994,3.2915671377939493
Belgium,1995,4.277425279679403
Belgium,1996,0.8902873017969881
Belgium,1997,3.6872448230574895
Belgium,1998,1.730036276805813
Belgium,1999,3.3797889747785304
Belgium,2000,3.7958010406432985
Belgium,2001,0.7652614088101473
Belgium,2002,1.4948946755031445
Belgium,2003,1.0132240129977932
Belgium,2004,2.7825095521516907
Belgium,2005,2.170367582486521
Belgium,2006,3.015135456519502
Belgium,2007,2.5987835748095156
Belgium,2008,0.9691581470429922
Belgium,2009,-3.1823604575816455
Canada,1946,-1.0260457774269982
Canada,1947,4.4258373205741774
Canada,1948,1.832760595647187
Canada,1949,2.1747281589801437
Canada,1950,7.375919769701533
Canada,1951,5.673231275204582
Canada,1952,7.276769173768072
Canada,1953,4.672929474338616
Canada,1954,-0.6912594450127041
Canada,1955,9.338815516238895
Canada,1956,8.089916662235153
Canada,1957,2.895657918781014
Canada,1958,1.7889099875684655
Canada,1959,4.0537910764254725
Canada,1960,3.107144239078563
Canada,1961,2.9509632224168136
Canada,1962,7.006160463675126
Canada,1963,5.059331175836035
Canada,1964,6.515853243335257
Canada,1965,6.648976651209049
Canada,1966,6.483732392021047
