ccode	ccodealp	cname_qog	region	ht_colonial	br_dem	wdi_lifexp	wdi_gdpcappppcur
4	AFG	Afghanistan	South Asia	0	0	63.564998626708984	2167.7041015625
8	ALB	Albania	Europe & Central Asia	0	1	79.28199768066406	13973.0458984375
12	DZA	Algeria	Middle East & North Africa	6	0	76.4739990234375	12118.0048828125
20	AND	Andorra	Europe & Central Asia	0	NA	NA	NA
24	AGO	Angola	Sub-Saharan Africa	7	0	62.448001861572266	6881.076171875
28	ATG	Antigua and Barbuda	Latin America & Caribbean	5	1	78.69100189208984	24007.869140625
31	AZE	Azerbaijan	Europe & Central Asia	0	0	73.10199737548828	15051.5615234375
32	ARG	Argentina	Latin America & Caribbean	2	1	77.28399658203125	23003.27734375
36	AUS	Australia	East Asia & Pacific	0	1	82.9000015258789	51810.77734375
40	AUT	Austria	Europe & Central Asia	0	1	81.8951187133789	58076.34765625
44	BHS	Bahamas	Latin America & Caribbean	5	1	71.20500183105469	36645.8203125
48	BHR	Bahrain	Middle East & North Africa	5	0	80.01899719238281	51869.45703125
50	BGD	Bangladesh	South Asia	5	0	72.805999755859375	5697.94921875
51	ARM	Armenia	Europe & Central Asia	0	1	75.43900299072266	14921.8193359375
52	BRB	Barbados	Latin America & Caribbean	5	1	77.25700378417969	16628.16796875
56	BEL	Belgium	Europe & Central Asia	0	1	81.99512481689453	54278.390625
64	BTN	Bhutan	South Asia	5	1	71.39099884033203	12295.18359375
68	BOL	Bolivia	Latin America & Caribbean	2	1	67.84100341796875	8888.701171875
70	BIH	Bosnia and Herzegovina	Europe & Central Asia	0	0	77.240997314453125	15418.9794921875
72	BWA	Botswana	Sub-Saharan Africa	5	1	65.46399688720703	15756.0439453125
76	BRA	Brazil	Latin America & Caribbean	7	1	75.33799743652344	15304.9072265625
84	BLZ	Belize	Latin America & Caribbean	5	1	73.930999755859375	9409.59765625
90	SLB	Solomon Islands	East Asia & Pacific	5	1	70.38200378417969	2727.306640625
96	BRN	Brunei	East Asia & Pacific	5	0	74.74800109863281	64016.75390625
100	BGR	Bulgaria	Europe & Central Asia	0	1	75.11219787597656	24411.28125
104	MMR	Myanmar	East Asia & Pacific	5	0	66.61000061035156	5033.365234375
108	BDI	Burundi	Sub-Saharan Africa	8	0	62.35100173950195	760.453369140625
112	BLR	Belarus	Europe & Central Asia	0	0	74.2268295288086	20092.880859375
116	KHM	Cambodia	East Asia & Pacific	6	0	70.69200134277344	4652.7080078125
120	CMR	Cameroon	Sub-Saharan Africa	6	0	61.58399963378906	3915.051513671875
124	CAN	Canada	North America	0	1	82.04878234863281	49299.2109375
132	CPV	Cape Verde	Sub-Saharan Africa	7	1	76.003997802734375	7123.55029296875
140	CAF	Central African Republic	Sub-Saharan Africa	6	0	55.025001525878906	898.1373291015625
144	LKA	Sri Lanka	South Asia	5	1	76.00800323486328	14214.6513671875
148	TCD	Chad	Sub-Saharan Africa	6	0	53.25899887084961	1627.9200439453125
152	CHL	Chile	Latin America & Caribbean	2	1	80.32599639892578	25206.40234375
156	CHN	China	East Asia & Pacific	0	0	77.96800231933594	16652.099609375
158	TWN	Taiwan	East Asia & Pacific	0	1	NA	NA
170	COL	Colombia	Latin America & Caribbean	2	1	76.75199890136719	15720.57421875
174	COM	Comoros	Sub-Saharan Africa	6	0	64.06800079345703	3429.531005859375
178	COG	Congo	Sub-Saharan Africa	6	0	62.74700164794922	3851.01025390625
180	COD	Congo, Democratic Republic	Sub-Saharan Africa	8	0	60.2760009765625	1104.6243896484375
188	CRI	Costa Rica	Latin America & Caribbean	2	1	79.427001953125	22467.875
191	HRV	Croatia	Europe & Central Asia	0	1	78.42439270019531	30635.6640625
192	CUB	Cuba	Latin America & Caribbean	2	0	77.61100006103516	NA
196	CYP	Cyprus (1975-)	Europe & Central Asia	5	1	81.397003173828125	42711.28515625
203	CZE	Czech Republic	Europe & Central Asia	0	1	79.2292709350586	42847.00390625
204	BEN	Benin	Sub-Saharan Africa	6	1	60.45399856567383	3289.6552734375
208	DNK	Denmark	Europe & Central Asia	0	1	81.45121765136719	58700.9765625
212	DMA	Dominica	Latin America & Caribbean	5	1	NA	12918.564453125
214	DOM	Dominican Republic	Latin America & Caribbean	2	1	73.5770034790039	18937.962890625
218	ECU	Ecuador	Latin America & Caribbean	2	1	77.2969970703125	11870.9365234375
222	SLV	El Salvador	Latin America & Caribbean	2	1	72.55899810791016	9402.171875
226	GNQ	Equatorial Guinea	Sub-Saharan Africa	2	0	61.64400100708008	16925.787109375
231	ETH	Ethiopia (1993-)	Sub-Saharan Africa	0	0	65.83799743652344	2273.73486328125
