country	year	gdppc	gdppc_log	publicsocexpends
Denmark	1890	4534	8.41936	1.11
Denmark	1891	4591	8.431853	NA
Denmark	1892	4668	8.448486	NA
Denmark	1893	4723	8.460199	NA
Denmark	1894	4775	8.471149	NA
Denmark	1895	4978	8.512783	NA
Denmark	1896	5095	8.536015	NA
Denmark	1897	5144	8.545587	NA
Denmark	1898	5156	8.547916	NA
Denmark	1899	5304	8.576217	NA
Denmark	1900	5420	8.597851	1.41
Denmark	1901	5578	8.626586	NA
Denmark	1902	5644	8.638349	NA
Denmark	1903	5912	8.684739	NA
Denmark	1904	5975	8.695339	NA
Denmark	1905	6012	8.701512	NA
Denmark	1906	6112	8.718009	NA
Denmark	1907	6264	8.742575	NA
Denmark	1908	6382	8.761237	NA
Denmark	1909	6545	8.786457	NA
Denmark	1910	6657	8.803424	1.75
Denmark	1911	6930	8.843616	NA
Denmark	1912	6850	8.832004	NA
Denmark	1913	7029	8.8578	NA
Denmark	1914	7386	8.907342	NA
Denmark	1915	6788	8.822911	NA
Denmark	1916	6992	8.852522	NA
Denmark	1917	6498	8.77925	NA
Denmark	1918	6214	8.73456	NA
Denmark	1919	6935	8.844337	NA
Denmark	1920	7173	8.878079	2.71
Denmark	1921	6875	8.835647	NA
Denmark	1922	7486	8.92079	NA
Denmark	1923	8191	9.010791	NA
Denmark	1924	8136	9.004054	NA
Denmark	1925	7867	8.970432	NA
Denmark	1926	8261	9.0193	NA
Denmark	1927	8369	9.03229	NA
Denmark	1928	8599	9.059402	NA
Denmark	1929	9119	9.118115	NA
Denmark	1930	9596	9.169102	3.11
Denmark	1931	9630	9.172639	NA
Denmark	1932	9288	9.136478	NA
Denmark	1933	9506	9.159678	NA
Denmark	1934	9706	9.180499	NA
Denmark	1935	9846	9.19482	NA
Denmark	1936	10017	9.212039	NA
Denmark	1937	10185	9.228671	NA
Denmark	1938	10354	9.245129	NA
Denmark	1939	10768	9.284334	NA
Denmark	1940	9193	9.126198	NA
Denmark	1941	8218	9.014082	NA
Denmark	1942	8317	9.026057	NA
Denmark	1943	9128	9.119102	NA
Denmark	1944	9960	9.206332	NA
Denmark	1945	9103	9.11636	NA
Denmark	1946	10380	9.247636	NA
Denmark	1947	10843	9.291275	NA
Denmark	1948	11020	9.307467	NA
Denmark	1949	11669	9.364691	NA
Denmark	1950	12475	9.431482	NA
Denmark	1951	12464	9.4306	NA
Denmark	1952	12497	9.433244	NA
Denmark	1953	13102	9.48052	NA
Denmark	1954	13245	9.491375	NA
Denmark	1955	13288	9.494617	NA
Denmark	1956	13366	9.500469	NA
Denmark	1957	14312	9.568853	NA
Denmark	1958	14546	9.585072	NA
Denmark	1959	15519	9.64982	NA
Denmark	1960	15833	9.669851	9.46
Denmark	1961	16732	9.725079	NA
Denmark	1962	17514	9.770756	NA
Denmark	1963	17486	9.769156	NA
Denmark	1964	18973	9.850772	NA
Denmark	1965	19681	9.887409	NA
Denmark	1966	20052	9.906084	NA
Denmark	1967	20549	9.930568	NA
Denmark	1968	21268	9.964959	NA
Denmark	1969	22515	10.02194	NA
Denmark	1970	22793	10.03421	14.8
Denmark	1971	23239	10.05359	15.5
Denmark	1972	24326	10.0993	15.7
Denmark	1973	25057	10.12891	15.6
Denmark	1974	24708	10.11488	17.5
Denmark	1975	24474	10.10537	18.7
Denmark	1976	25993	10.16558	18
Denmark	1977	26333	10.17858	18.4
Denmark	1978	26639	10.19013	19.2
Denmark	1979	27515	10.22249	19.8
Denmark	1980	27361	10.21687	20.3
Denmark	1981	27125	10.20821	NA
Denmark	1982	27964	10.23867	NA
Denmark	1983	28688	10.26423	NA
Denmark	1984	29963	10.30772	NA
Denmark	1985	31236	10.34933	19.3
Denmark	1986	32330	10.38375	NA
Denmark	1987	32384	10.38542	NA
Denmark	1988	32746	10.39654	NA
Denmark	1989	32812	10.39855	NA
Denmark	1990	33155	10.40895	22
Denmark	1991	33530	10.4202	NA
Denmark	1992	34074	10.43629	NA
Denmark	1993	33964	10.43306	NA
Denmark	1994	35654	10.48162	NA
Denmark	1995	36543	10.50624	25.5
Denmark	1996	37391	10.52919	NA
Denmark	1997	38450	10.55711	NA
Denmark	1998	39160	10.57541	NA
Denmark	1999	40181	10.60115	NA
Denmark	2000	41548	10.6346	23.8
Denmark	2001	41740	10.63922	NA
Denmark	2002	41801	10.64068	NA
Denmark	2003	41850	10.64185	NA
Denmark	2004	42856	10.6656	NA
Denmark	2005	43736	10.68593	25.2
Denmark	2006	45299	10.72104	NA
Denmark	2007	45508	10.72564	NA
Denmark	2008	45010	10.71464	NA
Denmark	2009	42573	10.65898	NA
Denmark	2010	43178	10.67309	28.9
Denmark	2011	43575	10.68224	NA
Denmark	2012	43510	10.68075	NA
Denmark	2013	43733	10.68586	29
Denmark	2014	44241	10.69741	29
Denmark	2015	44635	10.70627	28.8
Denmark	2016	44836	10.71077	28.7
