country	countryabbr_nordic	relativepoverty_2010to2016	publicsocexpends_1980to2015_adj2
Australia	Asl	21.3	11.32
Austria	Aus	14.6	19.955
Belgium	Bel	17.7	16.96
Canada	Can	20.3	10.4
Denmark	*Den*	12.5	17.445
Finland	*Fin*	14.1	17.65
France	Fr	14.4	17.095
Germany	Ger	15.7	14.385
Ireland	Ire	16.5	11.135
Italy	It	19.4	14.33
Japan	Ja	21.9	9.65
Korea	Kor	20.1	9.01
Netherlands	Nth	11.8	16.87
New Zealand	NZ	19.1	14.46
Norway	*Nor*	13.3	16.37
Portugal	Por	18.8	10.325
Spain	Sp	22.5	10.05
Sweden	*Swe*	17	18.51
Switzerland	Swi	15.5	12.07
United Kingdom	UK	16.8	12.005
United States	US	24.1	10.665
