year	silent_dem_adv	babyboom_dem_adv	genx_dem_adv	millennial_dem_adv
1972	29.1	35.7	NA	NA
1973	28.2	23.8	NA	NA
1974	35.1	32.1	NA	NA
1975	24	36.7	NA	NA
1976	33	29.1	NA	NA
1977	29.9	31.5	NA	NA
1978	20.5	20.3	NA	NA
1980	22.6	22.7	NA	NA
1982	20.5	20.6	NA	NA
1983	13.6	15.7	NA	NA
1984	18.3	13.8	NA	NA
1985	16.6	-0.1000023	-12.4	NA
1986	18	9.5	-9.399998	NA
1987	18.9	7.699997	-9.200001	NA
1988	11.4	10.9	4.399998	NA
1989	10.5	2.699997	-6	NA
1990	13.5	-0.6000023	-11.6	NA
1991	2.900002	4.100002	-15.3	NA
1993	0.7999992	13.2	-4.299999	NA
1994	7.200001	8.299999	1.899998	NA
1996	4.099998	4.799999	5.799999	NA
1998	11	6.5	13.2	NA
2000	6.100002	10.9	3.700001	NA
2002	2.100002	6.200001	7.400002	15.6
2004	4	3.899998	2.299999	26.5
2006	5.800003	8.900002	5.800003	12.8
2008	2.900002	9.600002	16.3	25.6
2010	16.5	10.1	11.3	18.4
2012	9.599998	14.2	11.6	21.8
2014	3.5	11.5	12.7	18.9
2016	7.299999	10.8	11.3	22.2
