"year","president","party","incumbent","unelected","challenger"
"1948","Truman","Democrat","1","1","Dewey"
"1952","Eisenhower","Republican","0","0","Stevenson"
"1956","Eisenhower","Republican","1","0","Stevenson"
"1960","Kennedy","Democrat","0","0","Nixon"
"1964","Johnson","Democrat","1","1","Goldwater"
"1968","Nixon","Republican","0","0","Humphrey"
"1972","Nixon","Republican","1","0","McGovern"
"1976","Carter","Democrat","0","1","Ford"
"1980","Reagan","Republican","1","0","Carter"
"1984","Reagan","Republican","1","0","Mondale"
"1988","Bush Sr","Republican","0","0","Dukakis"
"1992","Clinton B","Democrat","1","0","Bush Sr"
"1996","Clinton B","Democrat","1","0","Dole"
"2000","Bush Jr","Republican","0","0","Gore"
"2004","Bush Jr","Republican","1","0","Kerry"
"2008","Obama","Democrat","0","0","McCain"
"2012","Obama","Democrat","1","0","Romney"
"2016","Trump","Republican","0","0","Clinton H"
"2020","Biden","Democrat","0","0","Trump"
