respid	cps21_province	cps21_weight_general_restricted	ban_abortion	age	female	urban	religion	education
"R_001Vw6R3CxCzbcR"	"Quebec"	.8428035	0	57	0	0	"Not important at all"	"Some PS"
"R_00AJoGE6B8Xifwl"	"British Columbia"	.8872862	0	22	1	1	"Somewhat important"	"Some PS"
"R_00QYXuUFwGAZLgZ"	"British Columbia"	.8872862	0	28	1	1		"BA"
"R_00Wyqmxv6ek6e3L"	"Ontario"	.8110893	0	29	1	1	"Very important"	"MA+"
"R_00dscjzlw5eIgEx"	"Quebec"	.8959352		41	1		"Somewhat important"	"College"
"R_00nCP7AU1k5Xlkd"	"Quebec"	.6622466	0	63	1	1		"Some PS"
"R_00uY5mK8nzhcsJb"	"Ontario"	.4920129	0	52	1	0	"Not very important"	"MA+"
"R_01APj969q0Rhhi9"	"Quebec"	1.150966		66	0			"HS"
"R_01EsC9ZhQYMcMgN"	"Quebec"	2.419556		42	0			"HS"
"R_01hIp1wTl555aZX"	"Ontario"	1.683217	0	33	1	1		"College"
"R_01xYFmq9BMsjsNX"	"Ontario"	.6656307	0	48	1	1		"Some PS"
"R_02HxtbY4iQWKRmp"	"British Columbia"	.4408205	1	65	0	1		"Some PS"
"R_02RFXp5z3pRgn0B"	"Ontario"	1.77456	0	66	0	0		"Less than HS"
"R_02gU1EmUxQ30jpD"	"Manitoba"	1.026209		54	0			"College"
"R_02gVjbZsEtj5Ytj"	"Quebec"	.2613597	0	68	0	1	"Not important at all"	"Some PS"
"R_02l2uNmaMR1M0iB"	"Quebec"	1.140206		44	0			"College"
"R_02sSSomESv8daY9"	"Ontario"	1.683217	0	31	1	0		"College"
"R_03pfJLQDaCbg6kh"	"Ontario"	1.032227		29	0		"Very important"	"BA"
"R_03qNh7XwTyQYrpn"	"Quebec"	.4317231		38	1		"Not important at all"	"BA"
"R_03s5SOr9Azv5129"	"Quebec"	1.140206	0	45	0	0		"College"
"R_03u27diAQilKGWt"	"Ontario"	.6261567		58	0		"Not important at all"	"Some PS"
"R_03wtI1Rw54jurx7"	"Quebec"	.8428035	0	64	0	1	"Not important at all"	"College"
"R_064UMYqHbR0RBol"	"Ontario"	.3166359	0	77	1	1		"Some PS"
"R_06Yi8jsHEf1Tst3"	"Ontario"	.4920129	0	62	1	1	"Very important"	"BA"
"R_06zccTmf5OymWU9"	"Quebec"	.2613597	0	78	0	1	"Somewhat important"	"BA"
"R_07DkJ1UE76QYSOt"	"British Columbia"	.4408205	0	72	0	1		"Some PS"
"R_07GmUARl3wMrwzf"	"Quebec"	1.389372	0	24	0	1	"Somewhat important"	"College"
"R_07XswAjsfwughW1"	"Quebec"	.8428035		64	0			"College"
"R_07bDLOp9HDA88c9"	"Ontario"	.6656307		46	1			"Some PS"
"R_07ldUhjGDHC7sLn"	"Alberta"	.4061654	1	60	1	1	"Not very important"	"BA"
"R_087JA47HBDNNhUR"	"Ontario"	1.757969		40	0		"Somewhat important"	"Some PS"
"R_087yrSRoNV4l76F"	"Ontario"	2.166708	0	60	1		"Somewhat important"	"HS"
"R_08LrRm2fLZjO1Oh"	"Ontario"	1.299434		59	0		"Somewhat important"	"Some PS"
"R_08O0qnVf4oEQqYx"	"Newfoundland and Labrador"	.8286865	0	66	1	0	"Very important"	"College"
"R_08R0qzUO21YKIkV"	"Ontario"	.8110893	0	28	1	1		"MA+"
"R_08SP4Q9jlBObUI1"	"Quebec"	.9043904		72	1		"Somewhat important"	"HS"
"R_08k3PgyPcWu0Xe1"	"Ontario"	.8110893	0	22	1	1	"Not very important"	"BA"
"R_08k3ROLKmoxY0QF"	"British Columbia"	3.01649	0	63	0	0		"HS"
"R_08mrgzWlgQ4O3Id"	"Ontario"	4.545682		25	0			"HS"
"R_08qPeH7SL9e2qDD"	"Ontario"	.8362538	0	78	0	1	"Somewhat important"	"College"
"R_08ujSrAsNIZiaSR"	"Ontario"	1.381353		49	1			"Some PS"
"R_095O8fBzS1DzqMN"	"Ontario"	.8110893		30	1		"Somewhat important"	"BA"
"R_09c8fISk4Lv695T"	"Quebec"	.8959352	0	48	1	1		"Some PS"
"R_09rXQk52uSgZ6XT"	"Ontario"	.8362538	0	69	0	1	"Somewhat important"	"Some PS"
"R_0ALvnMGbX1Kip2x"	"Ontario"	.8110893		24	1		"Somewhat important"	"MA+"
"R_0ANj2kzaVvvdHAB"	"Ontario"	.6261567	0	53	0	1	"Not important at all"	"BA"
"R_0AmkcYwVP4YAs2B"	"British Columbia"	.8872862		26	1		"Somewhat important"	"BA"
"R_0AqLp53Yg9TuNCp"	"Saskatchewan"	.9119394	1	34	1	0	"Very important"	"BA"
"R_0B5JUknG3j5EVxv"	"Saskatchewan"	1.892506	1	30	1	1		"College"
"R_0B8zKsZ25TOpv9f"	"Quebec"	.5260664	1	31	1	1		"BA"
"R_0B9icoSNOlCcBXP"	"Ontario"	1.032227	0	33	0	1		"MA+"
"R_0BMkc6uGy7cR8iZ"	"British Columbia"	.9266911	1	43	0	1	"Very important"	"MA+"
"R_0BNTMGVRLjKpJbr"	"Alberta"	.5169035	0	56	0	1		"MA+"
"R_0BPzCOfSFPwOxnb"	"Ontario"	1.683217	0	30	1	1	"Not very important"	"Some PS"
"R_0BTtu8U4z6BSHlf"	"British Columbia"	.4408205	1	72	0	1	"Not important at all"	"Some PS"
"R_0BajjZqGnQpkV1v"	"Quebec"	.6694947	0	34	0	1		"BA"
"R_0BbvDySkiunVQtP"	"Alberta"	.6903424		69	0		"Not important at all"	"College"
"R_0CGpZa6LUMAY95T"	"Manitoba"	.5189351	0	69	1	0	"Somewhat important"	"College"
"R_0CHm41GDiPnexGx"	"Ontario"	.8362538		76	0		"Very important"	"College"
