state_po,year,lexp25
AK,1976,49.77
AK,1980,49.84
AK,1984,51.41
AK,1988,51.89
AK,1992,52.38
AK,1996,52.49
AK,2000,52.85
AK,2004,54.16
AK,2008,54.14
AK,2012,54.38
AK,2016,54.28
AK,2020,55.08
AL,1976,48.82
AL,1980,49.57
AL,1984,50.19
AL,1988,50.26
AL,1992,50.97
AL,1996,50.82
AL,2000,51.04
AL,2004,51.21
AL,2008,51.52
AL,2012,51.81
AL,2016,51.69
AL,2020,51.73
AR,1976,50.05
AR,1980,50.39
AR,1984,50.8
AR,1988,50.84
AR,1992,51.44
AR,1996,51.52
AR,2000,51.36
AR,2004,51.83
AR,2008,51.75
AR,2012,52.16
AR,2016,52.09
AR,2020,52.34
AZ,1976,51.11
AZ,1980,51.3
AZ,1984,52.17
AZ,1988,52.5
AZ,1992,52.97
AZ,1996,53.14
AZ,2000,53.49
AZ,2004,54.2
AZ,2008,55.01
AZ,2012,55.42
AZ,2016,55.37
AZ,2020,55.67
CA,1976,50.79
CA,1980,51.24
CA,1984,51.86
CA,1988,51.82
CA,1992,52.7
CA,1996,53.29
CA,2000,54.13
CA,2004,54.93
CA,2008,55.84
CA,2012,56.65
CA,2016,56.91
CA,2020,57.13
CO,1976,51.31
CO,1980,52.14
CO,1984,52.83
CO,1988,53.29
CO,1992,53.96
CO,1996,53.97
CO,2000,54.53
CO,2004,55.26
CO,2008,55.59
CO,2012,56.27
CO,2016,56.14
CO,2020,56.47
CT,1976,51.1
CT,1980,51.66
CT,1984,52.34
CT,1988,52.73
CT,1992,53.51
CT,1996,53.73
CT,2000,54.28
CT,2004,55.31
CT,2008,56.27
CT,2012,56.77
CT,2016,56.67
CT,2020,56.63
DC,1976,46.42
DC,1980,46.76
DC,1984,47.39
DC,1988,45.68
DC,1992,46.27
DC,1996,46.97
DC,2000,49.01
DC,2004,50.52
DC,2008,51.71
DC,2012,54.23
DC,2016,54.15
DC,2020,54.68
DE,1976,49.59
DE,1980,50.33
DE,1984,51.2
DE,1988,51.01
DE,1992,51.77
DE,1996,51.89
DE,2000,52.86
DE,2004,53.54
DE,2008,53.92
DE,2012,54.81
DE,2016,54.62
DE,2020,54.34
FL,1976,50.71
FL,1980,51.21
FL,1984,52
FL,1988,52.07
FL,1992,52.65
FL,1996,52.91
FL,2000,53.31
FL,2004,53.89
FL,2008,54.77
FL,2012,55.57
FL,2016,55.52
FL,2020,55.81
GA,1976,48.48
GA,1980,49.33
GA,1984,50.06
GA,1988,50.13
GA,1992,51.02
GA,1996,51.26
GA,2000,51.55
GA,2004,52.29
GA,2008,53.11
GA,2012,53.81
GA,2016,53.74
GA,2020,53.88
HI,1976,53.27
HI,1980,53.74
HI,1984,54.14
HI,1988,54.92
HI,1992,54.92
HI,1996,54.88
HI,2000,55.7
HI,2004,56.13
HI,2008,56.88
HI,2012,57.33
HI,2016,57.89
HI,2020,57.87
IA,1976,51.51
IA,1980,52.55
IA,1984,53.1
IA,1988,53.22
IA,1992,54.16
IA,1996,54.09
IA,2000,54.5
IA,2004,55.19
IA,2008,55
IA,2012,55.57
IA,2016,55.4
IA,2020,55.34
ID,1976,50.94
ID,1980,52.21
ID,1984,52.52
ID,1988,52.92
ID,1992,53.98
ID,1996,54.13
ID,2000,54.28
ID,2004,54.91
ID,2008,55.38
ID,2012,55.54
ID,2016,55.39
ID,2020,55.42
IL,1976,49.55
IL,1980,50.39
IL,1984,51.11
IL,1988,51.12
IL,1992,52.03
IL,1996,52.28
IL,2000,52.92
IL,2004,53.81
IL,2008,54.35
IL,2012,55.22
IL,2016,55.26
IL,2020,55.24
IN,1976,49.96
IN,1980,50.65
IN,1984,51.36
IN,1988,51.56
IN,1992,52.29
IN,1996,52.33
IN,2000,52.37
IN,2004,53.22
IN,2008,53.38
IN,2012,53.61
IN,2016,53.34
IN,2020,53.31
KS,1976,51.43
KS,1980,52.03
KS,1984,52.53
KS,1988,52.8
KS,1992,53.73
KS,1996,53.53
KS,2000,53.71
KS,2004,54.24
KS,2008,54.4
KS,2012,54.73
KS,2016,54.69
KS,2020,54.46
KY,1976,49.3
KY,1980,49.78
KY,1984,50.51
KY,1988,50.54
KY,1992,51.36
KY,1996,51.31
KY,2000,51.4
KY,2004,51.92
KY,2008,52.03
KY,2012,52.01
KY,2016,51.43
KY,2020,51.64
LA,1976,48.06
LA,1980,48.95
LA,1984,49.84
LA,1988,49.82
LA,1992,50.35
LA,1996,50.5
LA,2000,50.76
LA,2004,50.96
LA,2008,51.64
LA,2012,52.21
LA,2016,52.38
LA,2020,52.35
MA,1976,50.65
MA,1980,51.3
MA,1984,51.79
MA,1988,52
MA,1992,52.98
MA,1996,53.58
MA,2000,54.04
MA,2004,54.89
MA,2008,55.79
MA,2012,56.56
MA,2016,56.25
MA,2020,56.2
MD,1976,49.45
MD,1980,50.22
MD,1984,50.84
MD,1988,50.92
MD,1992,51.82
MD,1996,51.97
MD,2000,52.57
MD,2004,53.65
